time,G(i),H_sun,T2m,WS10m,Int
20050101:0011,0,0,6.71,2.55,0
20050101:0111,0,0,5.91,2.34,0
20050101:0211,0,0,5.4,2.21,0
20050101:0311,0,0,5.07,2.21,0
20050101:0411,0,0,4.91,2.14,0
20050101:0511,0,0,4.9,2,0
20050101:0611,0,0,4.79,1.93,0
20050101:0711,0,0,5.07,2.07,0
20050101:0811,0,0,5.26,2.28,0
20050101:0911,64.51,8.38,5.39,2.62,0
20050101:1011,503.43,12.17,5.68,3.03,0
20050101:1111,286.18,13.91,5.92,3.31,0
20050101:1211,262.47,13.43,6,3.52,0
20050101:1311,278.25,10.77,5.94,3.59,0
20050101:1411,30.97,6.18,5.8,3.45,0
20050101:1511,0,0,5.44,3.31,0
20050101:1611,0,0,5.09,3.45,0
20050101:1711,0,0,4.99,3.72,0
20050101:1811,0,0,5.3,4.21,0
20050101:1911,0,0,5.9,4.62,0
20050101:2011,0,0,6,4.97,0
20050101:2111,0,0,6.16,5.38,0
20050101:2211,0,0,6.83,5.93,0
20050101:2311,0,0,7.48,6.55,0
20050102:0011,0,0,8.3,7.03,0
20050102:0111,0,0,8.09,7.31,0
20050102:0211,0,0,7.12,6.62,0
20050102:0311,0,0,6.07,6.41,0
20050102:0411,0,0,5.52,6.69,0
20050102:0511,0,0,4.96,6.55,0
20050102:0611,0,0,4.67,6.48,0
20050102:0711,0,0,4.31,6.48,0
20050102:0811,0,0,4.16,6.34,0
20050102:0911,253.94,8.42,4.46,6.34,0
20050102:1011,502.88,12.23,4.85,6.48,0
20050102:1111,389.37,13.99,5.15,6.14,0
20050102:1211,18.22,13.52,4.74,6.62,0
20050102:1311,148.31,10.88,4.45,6.14,0
20050102:1411,13.66,6.3,4.78,6,0
20050102:1511,0,0,4.11,6.28,0
20050102:1611,0,0,4.19,5.93,0
20050102:1711,0,0,4.09,6,0
20050102:1811,0,0,3.86,5.93,0
20050102:1911,0,0,3.96,6.34,0
20050102:2011,0,0,4.07,6.34,0
20050102:2111,0,0,4.11,6.21,0
20050102:2211,0,0,4.04,6.14,0
20050102:2311,0,0,3.81,6,0
20050103:0011,0,0,3.59,5.72,0
20050103:0111,0,0,3.75,5.72,0
20050103:0211,0,0,3.82,5.93,0
20050103:0311,0,0,3.73,5.24,0
20050103:0411,0,0,3.79,5.31,0
20050103:0511,0,0,3.37,5.24,0
20050103:0611,0,0,3.6,4.97,0
20050103:0711,0,0,3.79,5.17,0
20050103:0811,0,0,4.66,5.24,0
20050103:0911,17.31,8.48,5.12,5.17,0
20050103:1011,89.16,12.31,5.52,5.38,0
20050103:1111,30.06,14.08,6.01,5.59,0
20050103:1211,17.31,13.63,6.32,5.38,0
20050103:1311,34.61,11,6.73,5.17,0
20050103:1411,156.81,6.43,6.87,4.97,0
20050103:1511,0,0,6.92,5.03,0
20050103:1611,0,0,6.97,4.9,0
20050103:1711,0,0,6.96,5.03,0
20050103:1811,0,0,6.96,5.38,0
20050103:1911,0,0,6.85,5.45,0
20050103:2011,0,0,6.82,5.59,0
20050103:2111,0,0,6.83,5.79,0
20050103:2211,0,0,6.89,5.86,0
20050103:2311,0,0,6.96,6,0
20050104:0011,0,0,7.02,6.21,0
20050104:0111,0,0,7.15,6.34,0
20050104:0211,0,0,7.33,6.34,0
20050104:0311,0,0,7.5,6.28,0
20050104:0411,0,0,7.49,6.14,0
20050104:0511,0,0,7.48,6,0
20050104:0611,0,0,7.48,6,0
20050104:0711,0,0,7.87,6,0
20050104:0811,0,0,7.85,6.14,0
20050104:0911,10.93,8.54,7.81,6.21,0
20050104:1011,13.66,12.38,7.84,6.28,0
20050104:1111,17.31,14.17,8.05,6.28,0
20050104:1211,17.31,13.74,7.96,6.69,0
20050104:1311,14.57,11.12,7.76,5.24,0
20050104:1411,8.2,6.56,7.42,6.48,0
20050104:1511,1.82,0.38,7.3,6.14,0
20050104:1611,0,0,7.17,6,0
20050104:1711,0,0,7.09,5.93,0
20050104:1811,0,0,7.07,6.07,0
20050104:1911,0,0,6.52,6,0
20050104:2011,0,0,6.59,5.79,0
20050104:2111,0,0,6.54,5.59,0
20050104:2211,0,0,6.48,5.31,0
20050104:2311,0,0,6.5,5.03,0
20050105:0011,0,0,6.57,4.76,0
20050105:0111,0,0,6.67,4.48,0
20050105:0211,0,0,6.75,4.34,0
20050105:0311,0,0,6.59,4.21,0
20050105:0411,0,0,5.98,4,0
20050105:0511,0,0,5.33,3.79,0
20050105:0611,0,0,4.9,3.66,0
20050105:0711,0,0,4.87,3.72,0
20050105:0811,0,0,4.59,3.52,0
20050105:0911,35.73,8.6,4.84,3.52,0
20050105:1011,94.9,12.47,5.06,3.52,0
20050105:1111,54.65,14.27,5.41,3.1,0
20050105:1211,37.34,13.86,5.66,3.72,0
20050105:1311,51.01,11.26,5.73,3.45,0
20050105:1411,57.73,6.7,5.6,3.86,0
20050105:1511,3.64,0.53,5.43,3.72,0
20050105:1611,0,0,5.01,3.66,0
20050105:1711,0,0,4.77,3.66,0
20050105:1811,0,0,4.66,3.72,0
20050105:1911,0,0,4.94,3.79,0
20050105:2011,0,0,4.97,3.86,0
20050105:2111,0,0,4.98,3.86,0
20050105:2211,0,0,4.91,4.07,0
20050105:2311,0,0,5.18,4.28,0
