Time/s,ABS III_Q_flow_sph/kW,ABS III_Q_flow_dhw/kW,ABS III_Q_flow_tot/kW,ABS II_Q_flow_sph/kW,ABS II_Q_flow_dhw/kW,ABS II_Q_flow_tot/kW,ABS I_Q_flow_sph/kW,ABS I_Q_flow_dhw/kW,ABS I_Q_flow_tot/kW
0,881.322092300952,12.405749499,893.727841799952,501.289501235106,4.10493626489453,505.3944375,418.838367656331,3.3571395,422.195507156331
3600,3375.24287346359,6.214872573,3381.45774603659,1239.37307338689,1.94405161310518,1241.317125,445.51580774175,1.6818165,447.19762424175
7200,3384.49678343692,0.1759255,3384.67270893692,1590.73509167264,0.0806583273553046,1590.81575,445.51580774175,0.0753966428571429,445.591204384607
10800,3375.98107049366,2.471551641,3378.45262213466,1825.08767781809,0.797947181907643,1825.885625,445.51580774175,0.6688305,446.18463824175
14400,3367.58606750378,36.3117244379311,3403.89779194172,2008.26414936158,4.50035063841975,2012.7645,445.51580774175,1.63455402991568,447.150361771666
18000,3360.70625216981,21.6835786936933,3382.38983086351,2318.73188598785,2.4693640121513,2321.20125,445.51580774175,0.675324,446.19113174175
21600,3354.78731151462,234.787233933542,3589.57454544817,2541.52062448105,18.5693755189448,2560.09,445.51580774175,2.92042851120882,448.436236252959
25200,3317.81662544227,573.144978650865,3890.96160409313,2558.00607823021,93.1054217697875,2651.1115,445.51580774175,50.6445268440181,496.160334585768
28800,3275.57319120127,250.637726834365,3526.21091803563,2547.03494076271,31.8428092372939,2578.87775,445.51580774175,13.9093767537869,459.425184495537
32400,3241.3443575032,163.843475199919,3405.18783270312,2529.51454884935,20.8289511506476,2550.3435,445.51580774175,10.4781562413195,455.99396398307
36000,3216.05657595098,161.152824606314,3377.2094005573,2537.12869047909,26.6490595209094,2563.77775,445.51580774175,13.8685750464299,459.38438278818
39600,3189.09487963231,296.738987199024,3485.83386683134,2540.65375565127,48.0694943487251,2588.72325,445.51580774175,28.4869382760141,474.002746017764
43200,3175.91670783898,621.594583026149,3797.51129086513,2536.92658404448,77.7924159555156,2614.719,445.51580774175,24.318912018359,469.834719760109
46800,3181.82859619391,409.715092880158,3591.54368907407,2502.77069577972,50.035554220281,2552.80625,445.51580774175,22.2866866013328,467.802494343083
50400,3157.08827293911,331.824912543549,3488.91318548266,2468.30781956675,37.0961804332494,2505.404,445.51580774175,17.1592816965821,462.675089438332
54000,3100.50574625762,232.773889310644,3333.27963556827,2456.57686487145,25.0808851285464,2481.65775,445.074171942688,12.6500169130607,457.724188855749
57600,3049.57317363666,152.815927468781,3202.38910110544,2422.90889498649,18.9898550135109,2441.89875,444.667629440501,9.72678377650595,454.394413217007
61200,3050.42817593912,143.434861818585,3193.86303775771,2383.86234422818,18.4266557718231,2402.289,444.712204388282,8.98189347655504,453.694097864837
64800,3092.40507251064,162.111451821639,3254.51652433228,2342.09372092164,23.5150290783594,2365.60875,445.080785795886,10.5742177018038,455.65500349769
68400,3162.55178101419,185.105925282993,3347.65770629719,2298.12779440418,28.5994555958234,2326.72725,445.51580774175,15.518739438815,461.034547180565
72000,3171.29082336214,403.636488112464,3574.9273114746,2373.78666369094,61.5025863090598,2435.28925,445.51580774175,36.7403611250277,482.256168866778
75600,3177.00861341849,287.434562810282,3464.44317622878,2327.56033126374,56.5224187362636,2384.08275,445.51580774175,34.5812554503667,480.097063192117
79200,3208.89045565688,48.9092546318699,3257.79971028875,2327.95304153234,13.9939584676628,2341.947,445.51580774175,10.9055989762849,456.421406718035
82800,3206.2137580945,24.859490292,3231.0732483865,2326.77392195743,8.15082804257098,2334.92475,445.51580774175,6.727266,452.24307374175
86400,3198.14714493582,12.525727734,3210.67287266982,2313.45720374049,3.98104625950749,2317.43825,445.51580774175,3.389607,448.90541474175
90000,3186.33082677989,6.214872573,3192.54569935289,2289.715343444,2.08765655599611,2291.803,445.51580774175,1.6818165,447.19762424175
93600,3176.82111522721,0.194185264,3177.01530049121,2268.5982799429,0.0952200570997381,2268.6935,445.51580774175,0.0863045617777778,445.602112303528
97200,3171.92274381511,2.471551641,3174.39429545611,2251.65277364762,0.830226352384554,2252.483,445.51580774175,0.6688305,446.18463824175
100800,3162.29850686967,39.8274430891589,3202.12594995882,2232.25805431233,4.18244568766511,2236.4405,445.51580774175,1.48935426495784,447.005162006708
104400,3155.06417853172,19.3589516654218,3174.42313019715,2388.18829232127,2.73270767873243,2390.921,445.51580774175,1.45001185148035,446.96581959323
108000,3161.11174547531,256.609385347759,3417.72113082307,2460.18631731148,21.786932688516,2481.97325,445.51580774175,8.45681945604195,453.972627197792
111600,2980.15682595064,336.762603221728,3316.91942917237,2179.24364845776,60.4983515422429,2239.742,443.411555468481,38.2992589788332,481.710814447314
115200,2784.09849927239,119.170185554244,2903.26868482663,2029.87267643915,17.6315735608546,2047.50425,439.267625783649,12.1790178335114,451.44664361716
118800,2670.72770336111,277.853952624517,2948.58165598563,1946.2814745636,25.8067754363958,1972.08825,436.837673950321,10.3306829852161,447.168356935537
122400,2622.40650381409,91.8115187766935,2714.21802259079,1897.326799127,20.1708258729962,1917.497625,435.828032531001,13.2450633587849,449.073095889786
126000,2553.49152240571,233.69775765829,2787.189280064,1856.44411745852,39.594382541483,1896.0385,434.863871262212,27.67613052253,462.540001784742
129600,2474.78439969736,334.113312476278,2808.89771217364,1769.54814852449,49.1633514755076,1818.7115,434.06173393537,23.0259331521151,457.087667087485
133200,2468.39769660774,625.267782582421,3093.66547919016,1650.05027390758,55.4532260924156,1705.5035,434.324211803832,24.8545645338417,459.178776337674
136800,2308.93391470991,275.548957732791,2584.4828724427,1444.87997411151,39.2150258884918,1484.095,432.843802777601,16.7586868796105,449.602489657211
140400,2114.18837730262,205.545736227151,2319.73411352977,1350.00195915136,22.3536658486377,1372.355625,430.792935622553,11.1053850738649,441.898320696418
144000,2108.0426987159,158.368859498592,2266.41155821449,1318.8084579555,22.2846670445025,1341.093125,1020.93910530789,9.80216150956058,1030.74126681745
147600,2251.55734374797,319.311483057261,2570.86882680523,1314.63088984108,39.0977351589158,1353.728625,982.76945244428,12.9340493660514,995.703501810331
151200,2444.41444579516,185.844290772283,2630.25873656744,1299.78217247508,25.0335775249215,1324.81575,937.332024393166,12.8838234472915,950.215847840457
154800,2992.33939360168,373.180687605897,3365.52008120758,1344.97888276751,41.2896172324871,1386.2685,1003.57412246903,16.2142052517218,1019.78832772075
158400,3264.27646378789,384.556021632574,3648.83248542046,1419.97743553092,61.8804394690774,1481.857875,1108.24573343836,32.811509757358,1141.05724319572
162000,3412.40440422599,224.038340562032,3636.44274478803,1402.01454072674,47.6065842732574,1449.621125,1162.93777956696,33.9950747965803,1196.93285436354
165600,3585.90537401683,49.3633766608746,3635.2687506777,1429.13544441656,14.1060555834432,1443.2415,1199.00773428054,10.92982334005,1209.93755762059
169200,3590.87631631941,24.859490292,3615.73580661141,1436.42971786561,7.70128213439067,1444.131,1214.99752185383,6.727266,1221.72478785383
172800,3593.0997914904,12.621710322,3605.7215018124,1436.20019481442,3.89743018558065,1440.097625,1216.01155724456,3.415581,1219.42713824456
